shard,id,name,verdict,score,auto_lock,events,coverage_h,span_h,gaps_gt_2h,empty_desc,title_ar_pct,title_latin_pct,desc_ar_pct,feed_country,issues,warnings,preview_1,preview_2
mena-other,Mowagahat-2.ae,Mowagahat-2,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Mowagahat-8.ae,Mowagahat-8,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Mowajahat.ae,Mowajahat,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,MTA.3.ae,MTA 3,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,MTV.eg,MTV.eg,REVIEW,92,0,60,48.0,48.0,0,60,68.3,35.0,0.0,eg,,EMPTY_DESC=60(100%),فترة دينية,Six of Us
mena-other,MTV80s.uk@SD,MTV80s,REVIEW,92,0,19,14.67,14.67,0,19,100.0,0.0,0.0,,,EMPTY_DESC=19(100%),سافج كينجدوم (موسم 4، حلقة3),ذي إنكريدبول دكتور بول (موسم 20، حلقة20)
mena-other,Myx.sa,Myx.sa,REVIEW,92,0,18,17.98,17.98,0,18,0.0,100.0,0.0,sa,,EMPTY_DESC=18(100%),Island Block Party,Press Play
mena-other,Nat geo hd.qa,Nat geo hd.qa,REVIEW,84,0,42,40.97,47.0,2,42,100.0,0.0,0.0,qa,,EMPTY_DESC=42(100%); GAPS_GT_2H=2/TOTAL=6.0h,أربعة فصول في الغابة,معركة البقاء في المتوسط
mena-other,Nat. Geo. AD.sa,Nat. Geo. AD.sa,PASS,100,1,61,46.0,46.0,0,0,100.0,0.0,100.0,sa,,,آلاسكاز غريزلي غانتليت,غوردن رامزي: المجهول
mena-other,Nat. Geo. Wild HD.sa,Nat. Geo. Wild HD.sa,PASS,100,1,64,46.5,46.5,0,0,100.0,0.0,100.0,sa,,,المملكة المتوحشة:ديث أوف ايه دريم,ذي إنكريدابل د. بول:ذا بيغل هاز لانديد
mena-other,Nat. Geographic.sa,Nat. Geographic.sa,PASS,100,1,61,45.75,45.75,0,0,100.0,0.0,100.0,sa,,,كنوز المايا الضائعة:سيكريتس أوف ذي آندروورلد,هاو ذا تيودرز لوست ذير هيدز:بيركن ووربك آند ذا برنسز إن ذا تاور
mena-other,NBA DIGITAL.qa,NBA DIGITAL.qa,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,qa,NO_PROGRAMMES,,,
mena-other,Nedaa.El.Islam.ae,Nedaa El Islam,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Network Arabic.eg,Network Arabic.eg,REVIEW,92,0,49,49.0,49.0,0,49,0.0,100.0,0.0,eg,,EMPTY_DESC=49(100%),The Amazing World of Gumball S1,Ben 10 S1
mena-other,NEWS DIGITAL.qa,NEWS DIGITAL.qa,REVIEW,84,0,80,43.0,45.0,0,80,0.0,100.0,0.0,qa,,EMPTY_DESC=80(100%); LOW_TITLE_DIVERSITY=20%,Al Hassad,News Bulletin
mena-other,NHK.World.Japan.ae,NHK World Japan,REVIEW,92,0,136,48.5,48.5,0,136,0.0,100.0,0.0,ae,,EMPTY_DESC=136(100%),The Factory Wonders,Time-lapse Japan
mena-other,On.Time.Sport.2.HD.ae,On Time Sport 2 HD,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,One Drama.eg,One Drama.eg,REVIEW,92,0,14,14.0,14.0,0,14,0.0,100.0,0.0,eg,,EMPTY_DESC=14(100%),Cherry Season,My Siblings
mena-other,One Movies.eg,One Movies.eg,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,eg,NO_PROGRAMMES,,,
mena-other,One TV.sa,One TV.sa,REVIEW,92,0,36,43.5,43.5,0,6,100.0,100.0,100.0,sa,,EMPTY_DESC=6(17%),Blackbird,Dubai Eye : 2026: Ep 177
mena-other,One.America.News.Network.ae,One America News Network,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Outdoor.Channel.ae,Outdoor Channel,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Padel TV.sa,Padel TV.sa,REVIEW,76,0,29,29.0,29.0,0,29,0.0,100.0,0.0,sa,,EMPTY_DESC=29(100%); REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=3%,Padel Time TV,Padel Time TV
mena-other,Panorama.Drama.2.ae,Panorama Drama 2,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Panorama.Drama.ae,Panorama Drama,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Panorama.Film.ae,Panorama Film,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Panorama.Food.ae,Panorama Food,REVIEW,84,0,41,49.5,49.5,0,41,0.0,100.0,0.0,ae,,EMPTY_DESC=41(100%); LOW_TITLE_DIVERSITY=20%,Doctor Style,Food Secrets
mena-other,Pishto.ae,Pishto,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,PraiseLive.Global.ae,PraiseLive Global,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Press.TV.HD.ae,Press TV HD,REVIEW,92,0,107,48.33,48.33,0,107,0.0,100.0,0.0,ae,,EMPTY_DESC=107(100%); DUPLICATE_TIMELINE_GROUP=2; DUPLICATE_TIMELINE_UNRELATED,K-Arts Artists,Heritage Walks with Little Friend
mena-other,Quran.Kareem.ae,Quran Kareem,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,RDK.ae,RDK,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
