shard,id,name,verdict,score,auto_lock,events,coverage_h,span_h,gaps_gt_2h,empty_desc,title_ar_pct,title_latin_pct,desc_ar_pct,feed_country,issues,warnings,preview_1,preview_2
mena-other,France.24.English.ae,France 24 English,REVIEW,76,0,241,48.17,48.17,0,241,0.0,100.0,0.0,ae,,SHORT_LT_2M=15; EMPTY_DESC=241(100%); LOW_TITLE_DIVERSITY=12%; DUPLICATE_TIMELINE_GROUP=2; DUPLICATE_TIMELINE_UNRELATED,Talking Europe,News
mena-other,Gametoon.nl@SD,Gametoon,REVIEW,84,0,24,24.0,24.0,0,0,100.0,100.0,100.0,,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=4%,Gametoon,Gametoon
mena-other,GINXTV.uk@SD,Ginx,PASS,100,1,44,39.5,39.5,0,0,100.0,0.0,100.0,,,,شات اب اند بلاي,فيديوغايم نايشن
mena-other,GMA Life TV.sa,GMA Life TV.sa,REVIEW,92,0,12,12.5,12.5,0,12,100.0,0.0,0.0,sa,,EMPTY_DESC=12(100%),مومي ديرست,شيكا كارت
mena-other,GMA News TV.sa,GMA News TV.sa,REVIEW,92,0,20,13.5,13.5,0,20,90.0,10.0,0.0,sa,,EMPTY_DESC=20(100%),ريسكيو,جاست فاكتس
mena-other,GMA Pinoy TV.sa,GMA Pinoy TV.sa,REVIEW,92,0,17,12.0,12.0,0,17,100.0,0.0,0.0,sa,,EMPTY_DESC=17(100%),فاميلي فود,فاست توك ويذ بوي ابوندا
mena-other,H2 HD.sa,H2 HD.sa,REVIEW,84,0,29,21.25,45.75,1,29,100.0,0.0,0.0,sa,,EMPTY_DESC=29(100%); GAPS_GT_2H=1/TOTAL=24.5h,هانتينغ هتلر,ذا يونيفيرس
mena-other,Hadhramaut TV.eg,Hadhramaut TV.eg,REVIEW,92,0,53,45.5,45.5,0,53,83.0,17.0,0.0,eg,,EMPTY_DESC=53(100%),برنامج وثائقي,فقرة غنائية
mena-other,HGTV.sa,HGTV.sa,PASS,100,1,76,42.92,42.92,0,0,100.0,0.0,100.0,sa,,,ديزاين داون آندر:بنغلو بيوتيفيكيشن,ديزاين داون آندر:غراني فلات رينو
mena-other,HGTVArabia.us@SD,HGTVArabia,REVIEW,92,0,12,10.67,10.67,0,12,100.0,0.0,0.0,,,EMPTY_DESC=12(100%),ترانسبلانت (موسم 4، حلقة4),ويل ترينت (موسم 3، حلقة9)
