shard,id,name,verdict,score,auto_lock,events,coverage_h,span_h,gaps_gt_2h,empty_desc,title_ar_pct,title_latin_pct,desc_ar_pct,feed_country,issues,warnings,preview_1,preview_2
mena-eg,Nile.TV.ae,Nile TV,REVIEW,76,0,92,49.0,49.0,0,92,0.0,100.0,0.0,ae,,EMPTY_DESC=92(100%); LOW_TITLE_DIVERSITY=17%; FOREIGN_FEED_ID=AE_EXPECTED=EG; DUPLICATE_TIMELINE_GROUP=2; DUPLICATE_TIMELINE_UNRELATED,Storyteller,Newshour
mena-eg,NileDrama.eg@SD,نايل دراما,PASS,100,1,9,9.0,9.0,0,0,100.0,0.0,100.0,eg,,,مطلوب عروسة,هوانم جاردن سيتي ج1
mena-eg,NileLife.eg@SD,نايل لايف,REVIEW,92,0,34,34.5,34.5,0,22,100.0,0.0,100.0,eg,,EMPTY_DESC=22(65%),برنامج أكلة لذيذة,إيه الأخبار؟
mena-eg,ON Drama.eg,ON Drama.eg,REVIEW,84,0,46,46.0,46.0,0,46,0.0,100.0,0.0,eg,,EMPTY_DESC=46(100%); LOW_TITLE_DIVERSITY=15%,Rageen Ya Hawa,Ab Wa Laken
mena-eg,ON E.eg,ON E.eg,REVIEW,92,0,38,46.0,46.0,0,38,55.3,50.0,0.0,eg,,EMPTY_DESC=38(100%),برنامج Style Talk,برنامج أحلى أكلة
mena-eg,On.Time.Sports.HD.ae,On Time Sports HD,REVIEW,68,0,33,41.0,41.5,0,33,0.0,100.0,0.0,ae,,EMPTY_DESC=33(100%); PLACEHOLDER=1; GENERIC_GUIDE=3%; FOREIGN_FEED_ID=AE_EXPECTED=EG; DUPLICATE_TIMELINE_GROUP=6,Sport TV Magazine,ON Target
mena-eg,OnDrama.eg@SD,أون دراما,REVIEW,92,0,33,33.5,39.5,1,0,100.0,0.0,100.0,eg,,GAPS_GT_2H=1/TOTAL=6.0h,نصيبي وقسمتك 4,الكبير أوي ج7
mena-eg,OnE.eg@SD,أون إي,REVIEW,84,0,27,34.5,40.0,1,14,100.0,3.7,100.0,eg,,EMPTY_DESC=14(52%); GAPS_GT_2H=1/TOTAL=5.5h,فيلم عربي,بيت مراد
mena-eg,Sada El Balad 2.eg,Sada El Balad 2.eg,REVIEW,92,0,36,46.0,46.0,0,36,97.2,8.3,0.0,eg,,EMPTY_DESC=36(100%),برنامج ربي زدني علمًا,برنامج Spot Light
mena-eg,Sada El Balad.eg,Sada El Balad.eg,REVIEW,92,0,39,46.0,46.0,0,39,64.1,35.9,0.0,eg,,EMPTY_DESC=39(100%),برنامج الماتش,Dalaa Banat
mena-eg,Sada.El.Balad.Drama.ae,Sada El Balad Drama,REVIEW,76,0,49,49.0,49.0,0,49,0.0,100.0,0.0,ae,,EMPTY_DESC=49(100%); LOW_TITLE_DIVERSITY=14%; FOREIGN_FEED_ID=AE_EXPECTED=EG,The Vow,Raised In Ezzo Family
mena-eg,SadaElbalad.eg@SD,صدى البلد,REVIEW,84,0,27,33.0,39.0,1,17,100.0,0.0,100.0,eg,,EMPTY_DESC=17(63%); GAPS_GT_2H=1/TOTAL=6.0h,برنامج أنا وهو وهي,يتربى في عزو
mena-eg,SadaElbalad2.eg@SD,صدى البلد 2,REVIEW,84,0,24,34.0,39.0,1,23,100.0,4.2,100.0,eg,,EMPTY_DESC=23(96%); GAPS_GT_2H=1/TOTAL=5.0h,برنامج الماتش,برنامج صحتك وبس
mena-eg,SadaElbaladDrama.eg@SD,صدى البلد دراما,PASS,100,1,9,9.0,9.0,0,0,100.0,0.0,100.0,eg,,,أحلى أيام,دلع بنات
mena-eg,TeN.eg@SD,تن,REVIEW,84,0,31,33.0,39.0,1,21,100.0,0.0,100.0,eg,,EMPTY_DESC=21(68%); GAPS_GT_2H=1/TOTAL=6.0h,بيت الشدة,برنامج حيرة
mena-sa,Aflam.sa@SD,أفلام,PASS,100,1,24,38.8,38.8,0,0,100.0,0.0,100.0,sa,,,واحد من الناس,ليلة سقوط بغداد
mena-sa,Al Resalah.sa,Al Resalah.sa,PASS,100,1,109,43.25,43.25,0,0,100.0,0.0,100.0,sa,,,يستفتونك,الأرقام في القرآن
mena-sa,AlQuranAlKareemTV.sa@SD,Al Quran Al Kareem TV HD,REVIEW,76,0,36,39.0,39.0,0,36,100.0,100.0,0.0,sa,,EMPTY_DESC=36(100%); REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=3%,القرآن الكريم HD,القرآن الكريم HD
mena-sa,AlResalah.sa@SD,الرساله,PASS,100,1,94,35.4,35.4,0,0,100.0,0.0,100.0,sa,,,صلاة العصر,مع الرسول في القرآن
mena-sa,AlSaudiya.sa@SD,السعودية,REVIEW,92,0,47,35.33,35.33,0,21,100.0,0.0,100.0,sa,,EMPTY_DESC=21(45%),مشراق,أنا ولا أنا
mena-sa,AsharqDiscovery.sa@SD,الشرق ديسكفري,REVIEW,84,0,93,39.83,39.83,0,48,100.0,1.1,100.0,sa,,EMPTY_DESC=48(52%); PLACEHOLDER=46,منازل على الساحل,جدول البرامج غير متاح
mena-sa,AsharqDocumentary.sa@SD,Asharq Documentary,REVIEW,84,0,12,48.0,48.0,0,0,100.0,0.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=8%,الشرق الوثائقية,الشرق الوثائقية
mena-sa,AsharqNews.sa@SD,الشرق,PASS,100,1,36,27.0,27.0,0,0,100.0,0.0,100.0,sa,,,صباح الشرق,الجلسة الأولى
mena-sa,BabAlHara.sa@SD,قناة باب الحارة,PASS,100,1,46,39.77,39.77,0,0,100.0,0.0,100.0,sa,,,باب الحارة الموسم 8 الحلقة 12,باب الحارة الموسم 8 الحلقة 13
mena-sa,Fairuz.sa@HD,فيروز,REVIEW,84,0,604,38.33,38.33,0,604,100.0,0.0,0.0,sa,,EMPTY_DESC=604(100%); LOW_TITLE_DIVERSITY=5%,ليالي الشمالي,ياريت
mena-sa,KSA Now.sa,KSA Now.sa,REVIEW,84,0,44,44.0,44.0,0,0,100.0,0.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,السعودية الآن,السعودية الآن
mena-sa,KSA.Sports.3.HD.ae,KSA Sports 3 HD,REVIEW,68,0,33,41.0,41.5,0,33,0.0,100.0,0.0,ae,,EMPTY_DESC=33(100%); PLACEHOLDER=1; GENERIC_GUIDE=3%; FOREIGN_FEED_ID=AE_EXPECTED=SA; DUPLICATE_TIMELINE_GROUP=6,Sport TV Magazine,ON Target
mena-sa,KSASports1.sa@SD,KSA Sports 1 HD,REVIEW,84,0,81,39.0,39.0,0,5,100.0,6.2,100.0,sa,,EMPTY_DESC=5(6%); LOW_TITLE_DIVERSITY=12%,سباحة,السعودية الرياضية 1 HD
mena-sa,LBC.sa,LBC.sa,PASS,100,1,38,44.0,44.0,0,0,89.5,10.5,100.0,sa,,,العهد:الحلقة 2,يلّا نحكي:الحلقة 2
mena-sa,LBC.sa@SD,إل بي سي,REVIEW,92,0,33,38.0,38.0,0,2,100.0,0.0,100.0,sa,,EMPTY_DESC=2(6%),العهد,برنامج يلا نحكي ج4
mena-sa,Maraya.sa@HD,قناة مرايا,REVIEW,92,0,3,2.45,2.45,0,0,100.0,0.0,100.0,sa,,SPARSE_COVERAGE=2.5h,مرايا 2003 الحلقة 7,حديث المرايا الحلقة 13
mena-sa,Masah.sa@SD,ماسة,REVIEW,92,0,48,41.75,41.75,0,44,100.0,0.0,100.0,sa,,EMPTY_DESC=44(92%),برنامج شي في الخاطر,برنامج
mena-sa,MoviesAction.sa@SD,Movies Action,PASS,100,1,22,40.58,40.58,0,0,100.0,90.9,100.0,sa,,,12 Strong,Detective Knight: Independence
mena-sa,MoviesThriller.sa@SD,Movies Thriller,PASS,100,1,14,27.75,27.75,0,0,100.0,100.0,100.0,sa,,,Cloud Atlas,Zero Dark Thirty
mena-sa,RabehSaqer.sa@HD,رابح صقر,REVIEW,84,0,394,38.33,38.33,0,394,100.0,0.0,0.0,sa,,EMPTY_DESC=394(100%); LOW_TITLE_DIVERSITY=18%,فاقد شعور,خميس ومالي خلق ازعل
mena-sa,Saudi 1.sa,Saudi 1.sa,PASS,100,1,64,42.67,42.67,0,0,100.0,0.0,100.0,sa,,,مشراق,الأخبار
