xmltv_id,channel_name,source,candidate_count,winner_source,receiver_canonical_id,now_status,now_title,now_desc,epg_snapshot_utc
AmmanTV.jo@SD,عَمان,elcinema.com,1,elcinema.com,Amman.TV.jo,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
AnimalPlanetEurope.uk@SD,Animal Planet HD,osn.com,1,osn.com,Animal.Planet.mena,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
ARTAflam1.sa@SD,افلام 1,artonline.tv,1,artonline.tv,ART.Aflam1.mena,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
ARTAflam2.sa@SD,افلام 2,artonline.tv,1,artonline.tv,ART.Aflam2.mena,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
ARTCinema.sa@SD,سينما,artonline.tv,1,artonline.tv,ART.Cinema.mena,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
ARTHekayat.sa@SD,حكايات,artonline.tv,1,artonline.tv,ART.Hekayat.mena,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
ARTHekayat2.sa@SD,حكايات 2,artonline.tv,1,artonline.tv,ART.Hekayat2.mena,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
AsharqDiscovery.sa@SD,الشرق ديسكفري,shahid.mbc.net,1,shahid.mbc.net,Asharq.Discovery.sa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
AsharqDocumentary.sa@SD,Asharq Documentary,shahid.mbc.net,1,shahid.mbc.net,Asharq.Documentary.sa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
AsharqNews.sa@SD,الشرق,shahid.mbc.net,1,shahid.mbc.net,Asharq.News.sa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
ATV.kw@SD,إيه تي في,elcinema.com,1,elcinema.com,ATV.kw,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
BabAlHara.sa@SD,قناة باب الحارة,shahid.mbc.net,1,shahid.mbc.net,Bab.Al.Hara.sa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
BahrainTV.bh@SD,البحرين,elcinema.com,2,osn.com,Bahrain.TV.bh,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
BahrainTV.bh@SD,Bahrain TV,osn.com,2,osn.com,Bahrain.TV.bh,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
Baraem.qa@SD,BaraemTV,bein.com,1,bein.com,Baraem.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
BBCArabic.uk@SD,BBC World,osn.com,1,osn.com,BBC.World.mena,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.EN1.qa,beINSPORTS1EN,bein.com,2,bein.com,beIN.Sports.EN1.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.EN1.qa,beIN SPORTS EN 1,beinsports.com,2,bein.com,beIN.Sports.EN1.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.EN2.qa,beINSPORTS2EN,bein.com,2,bein.com,beIN.Sports.EN2.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.EN2.qa,beIN SPORTS EN 2,beinsports.com,2,bein.com,beIN.Sports.EN2.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.FR1.qa,beINSPORTS1FR,bein.com,2,bein.com,beIN.Sports.FR1.qa,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.FR1.qa,beIN SPORTS FR 1,beinsports.com,2,bein.com,beIN.Sports.FR1.qa,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.FR2.qa,beINSPORTS2FR,bein.com,2,bein.com,beIN.Sports.FR2.qa,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.FR2.qa,beIN SPORTS FR 2,beinsports.com,2,bein.com,beIN.Sports.FR2.qa,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.News.qa,beINSPORTSNews,bein.com,1,bein.com,beIN.Sports.News.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.qa,beINSPORTS,bein.com,1,bein.com,beIN.Sports.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.XTRA3.qa,beINSPORTSXTRA3,bein.com,2,bein.com,beIN.Sports.XTRA3.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.XTRA3.qa,beIN SPORTS XTRA 3,beinsports.com,2,bein.com,beIN.Sports.XTRA3.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.XTRA4.qa,beINSPORTSXTRA4,bein.com,2,bein.com,beIN.Sports.XTRA4.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.XTRA4.qa,beIN SPORTS XTRA 4,beinsports.com,2,bein.com,beIN.Sports.XTRA4.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.XTRA5.qa,beINSPORTSXTRA5,bein.com,2,bein.com,beIN.Sports.XTRA5.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.XTRA5.qa,beIN SPORTS XTRA 5,beinsports.com,2,bein.com,beIN.Sports.XTRA5.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.XTRA6.qa,beINSPORTSXTRA6,bein.com,2,bein.com,beIN.Sports.XTRA6.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.XTRA6.qa,beIN SPORTS XTRA 6,beinsports.com,2,bein.com,beIN.Sports.XTRA6.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.XTRA7.qa,beINSPORTSXTRA7,bein.com,2,bein.com,beIN.Sports.XTRA7.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.XTRA7.qa,beIN SPORTS XTRA 7,beinsports.com,2,bein.com,beIN.Sports.XTRA7.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
